UserId,Experience,php,python,qa,js,level,qualification,age,Jobid
1,0,2,0,0,0,1,1,1,17
2,4,1,0,0,1,3,2,5,4
3,4,0,2,0,0,3,2,3,6
4,4,0,0,1,0,3,2,4,22
5,1,2,0,0,1,2,3,2,15
6,4,2,0,0,1,3,3,1,29
7,4,0,0,1,0,3,1,6,28
8,5,0,2,0,1,3,2,3,27
9,2,0,2,0,0,2,2,3,10
10,2,1,0,0,1,2,3,5,18
11,5,0,0,1,0,3,3,2,7
12,1,0,0,1,0,2,3,4,9
13,1,2,0,0,1,2,1,5,11
14,5,0,0,1,0,3,2,4,8
15,3,0,0,1,0,3,2,3,14
16,3,0,0,1,0,3,1,6,14
17,0,2,0,0,0,1,2,1,25
18,5,2,0,0,1,3,3,2,12
19,2,1,0,0,1,2,3,4,21
20,0,0,0,0,1,1,2,2,23
21,4,2,1,0,1,3,2,3,4
22,5,0,2,0,1,3,3,1,27
23,3,1,0,0,1,3,1,5,24
24,3,2,0,0,1,3,3,2,29
25,3,0,0,1,0,3,1,5,28
26,3,0,0,1,0,3,3,5,7
27,3,2,0,0,0,3,1,1,20
28,0,0,0,0,1,1,2,4,25
29,3,2,0,0,0,3,3,4,17
30,1,0,0,1,0,2,1,3,9
31,0,0,0,1,0,1,2,5,13
32,1,0,2,0,0,2,1,1,5
33,4,2,0,0,1,3,1,2,21
34,0,0,0,0,1,2,3,2,11
35,3,0,0,1,0,3,2,2,7
36,5,1,0,0,2,3,2,5,4
37,1,2,0,0,0,2,2,1,15
38,5,0,0,1,0,3,1,5,22
39,4,0,0,1,0,3,3,2,20
40,3,2,0,0,1,3,3,1,29
41,5,0,0,0,1,3,3,4,22
42,2,2,0,0,1,2,2,5,20
43,0,0,0,0,1,1,1,4,23
44,3,1,1,0,1,3,1,2,12
45,1,0,0,0,1,2,1,2,26
46,1,0,0,0,1,2,1,1,2
47,0,2,0,0,0,1,3,3,11
48,0,0,1,1,0,1,2,5,16
49,2,0,0,1,0,2,3,2,13
50,5,0,0,1,0,3,3,3,8
