UserId,Experience,php,python,qa,js,level,qualification,age,Jobid
1,0,2,0,0,0,1,1,1,17
2,4,1,0,0,1,3,2,5,4
3,4,0,2,0,0,3,2,3,6
4,4,0,0,1,0,3,2,4,22
5,1,2,0,0,1,2,3,2,15
6,4,2,0,0,1,3,3,1,29
7,4,0,0,1,0,3,1,6,28
8,5,0,2,0,1,3,2,3,27
9,2,0,2,0,0,2,2,3,10
10,2,1,0,0,1,2,3,5,18
11,5,0,0,1,0,3,3,2,7
12,1,0,0,1,0,2,3,4,9
13,1,2,0,0,1,2,1,5,11
14,5,0,0,1,0,3,2,4,8
15,3,0,0,1,0,3,2,3,14
16,3,0,0,1,0,3,1,6,14
17,0,2,0,0,0,1,2,1,25
18,5,2,0,0,1,3,3,2,12
19,2,1,0,0,1,2,3,4,21
20,0,0,0,0,1,1,2,2,23
21,4,2,1,0,1,3,2,3,4
22,5,0,2,0,1,3,3,1,27
23,3,1,0,0,1,3,1,5,24
24,3,2,0,0,1,3,3,2,29
25,3,0,0,1,0,3,1,5,28
26,3,0,0,1,0,3,3,5,7
27,3,2,0,0,0,3,1,1,20
28,0,0,0,0,1,1,2,4,25
29,3,2,0,0,0,3,3,4,17
30,1,0,0,1,0,2,1,3,9
31,0,0,0,1,0,1,2,5,13
32,1,0,2,0,0,2,1,1,5
33,4,2,0,0,1,3,1,2,21
34,0,0,0,0,1,2,3,2,11
35,3,0,0,1,0,3,2,2,7
36,5,1,0,0,2,3,2,5,4
37,1,2,0,0,0,2,2,1,15
38,5,0,0,1,0,3,1,5,22
39,4,0,0,1,0,3,3,2,20
40,3,2,0,0,1,3,3,1,29
41,5,0,0,0,1,3,3,4,22
42,2,2,0,0,1,2,2,5,20
43,0,0,0,0,1,1,1,4,23
44,3,1,1,0,1,3,1,2,12
45,1,0,0,0,1,2,1,2,26
46,1,0,0,0,1,2,1,1,2
47,0,2,0,0,0,1,3,3,11
48,0,0,1,1,0,1,2,5,16
49,2,0,0,1,0,2,3,2,13
50,5,0,0,1,0,3,3,3,8
51,0,0,0,0,1,1,1,1,385
52,0,0,2,0,0,1,3,1,964
53,4,2,0,0,0,3,2,3,800
54,1,0,0,1,0,2,1,5,959
55,0,0,0,0,1,1,1,5,589
56,5,0,0,1,0,3,2,5,995
57,2,0,0,0,1,2,1,2,780
58,2,0,2,0,0,2,2,3,242
59,0,0,2,0,0,1,1,3,909
60,2,2,0,0,0,2,3,2,369
61,4,0,0,0,1,3,3,3,645
62,0,0,0,0,1,1,1,4,135
63,4,0,2,0,0,3,2,1,430
64,5,0,0,1,0,3,2,3,884
65,2,2,0,0,0,2,1,4,638
66,2,0,0,1,0,2,1,5,613
67,0,0,2,0,0,1,1,1,33
68,1,0,0,0,1,2,2,3,854
69,3,0,0,0,1,3,3,4,670
70,3,2,0,0,0,3,1,2,57
71,3,0,2,0,0,3,1,2,355
72,3,0,0,0,1,3,2,1,73
73,1,0,0,0,1,2,2,4,754
74,2,0,0,1,0,2,3,1,651
75,1,0,0,0,1,2,3,5,35
